State,Generated,Rejected,Mobile,Email,Total,RejectionRate,MobileCaptureRate,SatisfactionIndex,MobileGroup
Andhra Pradesh,5798,373,5778,326,6171,0.06044401231567007,0.9363150218765192,86.38254527118728,High Mobile Capture
Arunachal Pradesh,913,79,971,24,992,0.07963709677419355,0.9788306451612904,81.68395469405466,High Mobile Capture
Assam,3213,28,3103,171,3241,0.008639308855291577,0.9574205492132059,92.9098091141946,High Mobile Capture
Bihar,162606,7209,90339,1731,169815,0.042452080204928896,0.5319848069958484,79.80110669904757,Low Mobile Capture
Chandigarh,259,9,244,29,268,0.033582089552238806,0.9104477611940298,81.38617999760906,High Mobile Capture
Chhattisgarh,6604,380,5336,934,6984,0.05441008018327606,0.7640320733104238,77.79783568910013,Low Mobile Capture
Dadra and Nagar Haveli,140,3,122,0,143,0.02097902097902098,0.8531468531468531,87.32456024348261,Low Mobile Capture
Daman and Diu,105,2,101,4,107,0.018691588785046728,0.9439252336448598,88.46763966685786,High Mobile Capture
Delhi,8426,591,8048,611,9017,0.06554286348009315,0.8925363202839082,83.86462641479777,High Mobile Capture
Goa,1167,127,1165,62,1294,0.09814528593508501,0.9003091190108191,78.6160000518134,High Mobile Capture
Gujarat,34844,2500,22724,918,37344,0.06694515852613539,0.6085047129391602,79.32622707413664,Low Mobile Capture
Haryana,6804,532,6781,267,7336,0.07251908396946564,0.9243456924754635,86.41578015434284,High Mobile Capture
Himachal Pradesh,1547,123,1002,55,1670,0.07365269461077845,0.6,76.06982917113491,Low Mobile Capture
Jammu and Kashmir,1234,204,1235,36,1438,0.14186369958275383,0.8588317107093185,79.58526301961054,High Mobile Capture
Jharkhand,9868,477,5266,177,10345,0.04610923151280812,0.509038182696955,77.47913135144859,Low Mobile Capture
Karnataka,19764,1445,18336,1111,21209,0.06813145362817671,0.8645386392569192,80.40423735965868,High Mobile Capture
Kerala,15143,538,14023,1161,15681,0.03430903641349404,0.8942669472610165,87.87559234997975,High Mobile Capture
Madhya Pradesh,53276,3509,24833,1406,56785,0.061794487980980896,0.4373161926565114,69.99523268905882,Low Mobile Capture
Maharashtra,26085,1818,19704,1703,27903,0.06515428448553919,0.7061606278894742,81.92596059088146,Low Mobile Capture
Manipur,1323,190,1476,16,1513,0.1255783212161269,0.9755452742894911,80.43728480824842,High Mobile Capture
Meghalaya,277,2,268,10,279,0.007168458781362007,0.9605734767025089,90.31506813002568,High Mobile Capture
Mizoram,6279,185,5327,22,6464,0.028620049504950496,0.8241027227722773,83.48445457407088,Low Mobile Capture
Nagaland,545,43,579,6,588,0.07312925170068027,0.9846938775510204,89.2038178951577,High Mobile Capture
Odisha,18182,1596,10290,708,19778,0.08069572251997169,0.5202750530892911,72.78115244764975,Low Mobile Capture
Punjab,6506,421,4837,300,6927,0.060776670997545836,0.6982820845965064,78.20264785206552,Low Mobile Capture
Rajasthan,39570,2035,29375,837,41605,0.0489123903376998,0.7060449465208508,79.69308747458491,Low Mobile Capture
Tamil Nadu,32485,1193,29813,1034,33678,0.03542371874814419,0.8852366530078983,88.04018878794584,High Mobile Capture
Telangana,5018,274,4826,599,5292,0.051776266061980346,0.9119425547996977,86.73551171092777,High Mobile Capture
Tripura,908,62,730,19,970,0.06391752577319587,0.7525773195876289,81.80053309831237,Low Mobile Capture
Uttar Pradesh,103767,5286,77002,2790,109053,0.04847184396577811,0.7060970353864635,82.08290253018652,Low Mobile Capture
Uttarakhand,13227,955,10836,298,14182,0.06733888027076576,0.7640671273445212,86.96660135527682,Low Mobile Capture
West Bengal,119901,6372,60230,2095,126273,0.05046209403435414,0.476982411125102,73.66420635930315,Low Mobile Capture
